ZULU TIME;Plane Longitude;Plane Latitude;Plane Altitude;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
52551.0;1.5120823541749708;43.56619735263621;968.7057356194244;-6.968601264504175;1.5165341154529048;330.6852405042694
52551.11328125;1.5120556961968874;43.566232721915355;967.4827832811188;-6.980743057564213;1.5078543323999938;330.84688156293544
52551.22265625;1.5120252945478228;43.56627334493201;966.0857119706135;-6.991532897427381;1.476253394987872;331.0311159940225
52551.3359375;1.511999253020733;43.5663083887927;964.8861589392669;-7.001977755361309;1.4306152448926104;331.18945215517084
52551.4453125;1.5119687983153849;43.566349666881166;963.4812468796684;-7.01712192408092;1.3644488545251696;331.37518709504116
52551.55859375;1.5119431435611306;43.566384693435445;962.298807709447;-7.0292367595478025;1.3173021931186872;331.5302842777557
52551.66796875;1.5119132965324678;43.56642574324337;960.9258708903214;-7.0441575174253925;1.2899115337213494;331.7074702387476
52551.77734375;1.5118880303731173;43.5664607484769;959.7646308146227;-7.05793980791352;1.292771355271175;331.8549890167022
52551.890625;1.511858936107504;43.56650135039765;958.4241540024739;-7.080730165582048;1.3158884506822004;332.0243496462784
52551.9453125;1.5118336825265015;43.5665368480079;957.2528629388213;-7.121232954160659;1.3452760866381208;332.17324450044924
52552.11328125;1.511805079679514;43.56657734332254;955.9107623256906;-7.177611539902787;1.3810066204554559;332.34488103838356
52552.22265625;1.5117768761967683;43.566617577566504;954.5654651159184;-7.209750896226287;1.4054800420252578;332.5175671084543
52552.27734375;1.5117524769691308;43.56665263586808;953.3849507421037;-7.215759768035544;1.429574814982947;332.66772250771453
52552.390625;1.5117247748322196;43.566692729061984;952.0242888590918;-7.214092831978637;1.4611388266848684;332.83889079658076
52552.5;1.5117002368642936;43.56672850306546;950.7993899195441;-7.2189719195586814;1.490224013326604;332.9917467043896
52552.61328125;1.5116728386617413;43.56676874187233;949.4073127091881;-7.230255674009035;1.5251084574605038;333.1648317682083
52552.72265625;1.5116490328591259;43.56680395885855;948.172857895274;-7.222096170134295;1.5548803982789432;333.31646638310383
52552.8359375;1.5116217269567707;43.56684465142658;946.7251951239305;-7.177646510685183;1.5813777969988903;333.4892931788101
52552.9453125;1.5115983450107713;43.56687975485386;945.4596922581842;-7.119636567833256;1.5986237044880551;333.63549194989236
52553.05859375;1.5115708905818768;43.56692128187137;943.9453302047622;-7.042073296522068;1.6219634213773406;333.8053931505308
52553.16796875;1.5115479962564615;43.56695617036444;942.6592571455172;-6.973892720255772;1.6477517610840757;333.94593684270467
52553.27734375;1.5115213466260582;43.566997080549754;941.1354726997192;-6.888125389243817;1.6859938835252715;334.10814731928224
52553.390625;1.5114980001025282;43.56703318635472;939.7765403902818;-6.807880109665607;1.7261378934851983;334.24889282042676
52553.5;1.511471364688872;43.56707468539136;938.1982056789033;-6.710459493737601;1.7790866938699006;334.40802185013774
52553.61328125;1.5114485678554594;43.567110464799704;936.8233183253515;-6.62590901862578;1.8299086373800846;334.54318731346797
52553.72265625;1.5114225459916792;43.56715160168557;935.2263404264154;-6.528185827551235;1.8929657975712886;334.69686811933826
52553.8359375;1.511396739262026;43.5671927103618;933.6125360454819;-6.441876762524455;1.95235984193325;334.8498551319277
52553.9453125;1.5113749924970772;43.56722759398943;932.2298233600652;-6.334682635776232;1.999836273410597;334.979596578097
52554.05859375;1.5113492445277825;43.56726918284275;930.5670923801364;-6.185209641572861;2.0559040156467625;335.13369850975204
52554.16796875;1.5113276156412339;43.567304357141964;929.1477936893497;-5.955614776505046;2.101340995326626;335.2627332373502
52554.27734375;1.5113028717266366;43.56734486307163;927.4981574528802;-5.579489701282816;2.138117295138913;335.40884016395574
52554.390625;1.5112780014682792;43.56738585557269;925.812945515868;-5.1241827423991175;2.131898407899617;335.55327576796356
52554.4453125;1.5112570928282558;43.56742052848611;924.3759484125876;-4.714814592916436;2.0815106082885517;335.6705841160315
52554.55859375;1.5112323053238153;43.56746187368014;922.6553974985928;-4.263041254532806;1.9654934419335381;335.802726013172
52554.66796875;1.5112084913624655;43.56750183232408;920.9960543282051;-3.9433298856292773;1.8014111671720874;335.9221557288289
52554.8359375;1.5111844868639213;43.567542336414775;919.328245166064;-3.748695827685022;1.601773382190783;336.0319002787131
52554.890625;1.5111640548058003;43.5675769865686;917.9226256684664;-3.6415091613027335;1.4421337185976022;336.11426586316395
52555.0;1.511140573073109;43.56761700360108;916.3342489141228;-3.555282704830681;1.3295399711206461;336.1934039383367
52555.11328125;1.5111166455431368;43.56765798834773;914.7475457823824;-3.4871963168871543;1.3018488901215335;336.25814753590777
52555.22265625;1.5110963972342646;43.56769282863199;913.4266979814814;-3.437400123189941;1.330352550188466;336.3039758336014
52555.3359375;1.5110729632150313;43.56773332166145;911.9166851919149;-3.3895881400010075;1.3982260609615869;336.35233174000433
52555.4453125;1.5110496288928925;43.56777381532781;910.4254831789324;-3.335691603526596;1.4792142819930725;336.40090329682783
52555.55859375;1.5110296346200205;43.567808643500335;909.152164611147;-3.272662460641608;1.5489154019777005;336.44578971439796
52555.66796875;1.5110064318809626;43.56784920669388;907.6751008594213;-3.195483005510786;1.6165900902129504;336.5043249563022
52555.77734375;1.5109834103288813;43.567889605383215;906.2070079892974;-3.1332986040646036;1.6583309770564851;336.57034954723844
52555.890625;1.5109604422910579;43.567930059357195;904.7394819057085;-3.0908001379582717;1.6720193164834254;336.6441813406526
52556.0;1.5109408224726972;43.56796473422542;903.4857830234986;-3.0732032517198484;1.6591842170942077;336.7136600644236
52556.11328125;1.5109180939962301;43.56800504044142;902.0349055081529;-3.068956968568354;1.6233123837384182;336.80033456641485
52556.22265625;1.5108948318724313;43.568046447445376;900.5501155852172;-3.0538713397276145;1.5628901824629582;336.8918068275538
52556.3359375;1.510872098211838;43.568087069781306;899.1011383877762;-3.016425854604463;1.4838212445882462;336.9796789050426
52556.4453125;1.5108496671793232;43.56812730570159;897.6765963135251;-2.9621532163118323;1.394568921547868;337.0619485502557
52556.55859375;1.510827576571557;43.56816708259218;896.2815932111116;-2.9050618097363468;1.300990740885345;337.13699063985484
52556.66796875;1.510805009990506;43.5682078725203;894.8695069734463;-2.8647597679355448;1.2068954935583105;337.20730757566525
52556.77734375;1.5107826781311864;43.56824839327063;893.4912899872485;-2.861219344747427;1.12849868898661;337.27250823244486
52556.8359375;1.510763680170318;43.568282984477904;892.3369830211934;-2.877655763058457;1.0797186518731425;337.3263495361878
52556.9453125;1.5107414184829742;43.56832365634061;891.0065149796943;-2.8918508807078225;1.0435170484464882;337.38886211394794
52557.05859375;1.5107191535742817;43.568364481196056;889.6969270846723;-2.8741200386375754;1.0243954002565085;337.4512352370209
52557.16796875;1.5106999766345497;43.5683997610193;888.5810890621404;-2.8366219533293977;1.0081798908366637;337.50492778736344
52557.27734375;1.5106772523182572;43.568441706336436;887.2698066738167;-2.796595955927176;0.9745527351185752;337.569976745405
