name;latitude;longitude;elevation;Plane Bank Degrees;Plane Pitch Degrees;Plane Heading Degrees True
1690733490;47.28162;-0.391846;1900;0;0;256
1690733500;47.280396;-0.399834;1900;0;0;257
1690733510;47.279057;-0.408255;1900;0;0;255
1690733521;47.277756;-0.416354;1900;0;0;255
1690733530;47.276505;-0.423798;1900;0;0;254
1690733538;47.275589;-0.428398;1900;0;0;252
1690733545;47.274078;-0.434946;1900;0;0;250
1690733551;47.272888;-0.439247;1900;0;0;247
1690733556;47.271698;-0.443092;1900;0;0;244
1690733563;47.270004;-0.447968;1900;0;0;242
1690733568;47.268723;-0.451496;1900;0;0;241
1690733572;47.267422;-0.454876;1900;0;0;240
1690733578;47.26593;-0.458611;1900;0;0;239
1690733583;47.264465;-0.46225;1900;0;0;238
1690733589;47.262764;-0.466285;1900;0;0;237
1690733597;47.260296;-0.47206;1900;0;0;237
1690733609;47.256714;-0.48037;1900;0;0;236
1690733620;47.253479;-0.487724;1900;0;0;236
1690733630;47.250229;-0.494934;1900;0;0;237
1690733639;47.247402;-0.501357;1900;0;0;237
1690733651;47.244049;-0.509104;1875;0;0;236
1690733661;47.240421;-0.517414;1825;0;0;236
1690733672;47.237091;-0.525078;1825;0;0;235
1690733682;47.233578;-0.532907;1800;0;0;236
1690733692;47.230316;-0.540253;1825;0;0;236
1690733702;47.227386;-0.546922;1800;0;0;237
1690733713;47.223942;-0.554669;1825;0;0;236
1690733723;47.220776;-0.561922;1800;0;0;236
1690733733;47.217701;-0.568824;1800;0;0;236
1690733744;47.214432;-0.576302;1825;0;0;236
1690733755;47.211319;-0.583374;1800;0;0;236
1690733765;47.208298;-0.590515;1825;0;0;237
1690733775;47.205368;-0.597382;1800;0;0;236
1690733783;47.20285;-0.603149;1825;0;0;236
1690733791;47.200619;-0.608192;1800;0;0;236
1690733801;47.197861;-0.614479;1825;0;0;237
1690733810;47.195023;-0.620865;1800;0;0;236
1690733819;47.192425;-0.626784;1825;0;0;237
1690733827;47.18985;-0.632675;1825;0;0;236
1690733835;47.187515;-0.637962;1825;0;0;236
1690733843;47.184998;-0.643593;1825;0;0;235
1690733851;47.182415;-0.649461;1825;0;0;236
1690733860;47.179688;-0.655403;1825;0;0;236
1690733868;47.177155;-0.661011;1825;0;0;235
1690733876;47.175156;-0.665565;1825;0;0;237
1690733884;47.172173;-0.67249;1825;0;0;237
1690733893;47.169479;-0.67868;1825;0;0;236
1690733902;47.166729;-0.684955;1825;0;0;237
1690733912;47.163986;-0.691246;1825;0;0;237
1690733917;47.161606;-0.696465;1800;0;0;235
1690733927;47.158627;-0.703195;1825;0;0;235
1690733935;47.156067;-0.70903;1800;0;0;237
1690733943;47.153503;-0.715004;1800;0;0;236
1690733952;47.150986;-0.720909;1800;0;0;237
1690733962;47.147873;-0.727985;1800;0;0;237
1690733969;47.145687;-0.732915;1800;0;0;237
1690733978;47.143204;-0.738556;1825;0;0;237
1690733987;47.140594;-0.744667;1825;0;0;237
1690733996;47.137527;-0.751671;1825;0;0;237
1690734005;47.135025;-0.757282;1825;0;0;236
1690734014;47.132839;-0.762071;1800;0;0;235
1690734023;47.129425;-0.76973;1800;0;0;236
1690734032;47.126785;-0.775522;1800;0;0;235
1690734041;47.124363;-0.781086;1800;0;0;236
1690734050;47.122086;-0.786227;1800;0;0;235
1690734059;47.119492;-0.792046;1800;0;0;236
1690734068;47.117249;-0.796989;1775;0;0;235
1690734077;47.114635;-0.802565;1750;0;0;236
1690734086;47.11235;-0.807701;1750;0;0;236
1690734095;47.109924;-0.81292;1775;0;0;235
1690734105;47.107315;-0.817932;1775;0;0;229
1690734107;47.106445;-0.819374;1750;0;0;227
1690734110;47.105511;-0.820805;1750;0;0;226
1690734114;47.104488;-0.822355;1725;0;0;225
1690734116;47.103558;-0.823552;1725;0;0;222
1690734119;47.102646;-0.82473;1750;0;0;221
1690734123;47.101685;-0.825966;1750;0;0;218
1690734125;47.100861;-0.826927;1775;0;0;218
1690734128;47.099972;-0.827848;1775;0;0;217
1690734132;47.099041;-0.828834;1775;0;0;213
1690734134;47.098389;-0.829399;1775;0;0;209
1690734137;47.097336;-0.830292;1775;0;0;207
1690734140;47.096527;-0.830876;1750;0;0;207
